Company,SIC,IndustryClassification,Industry,FiscalYearEnd,FiscalYear,Date,Assets,StockholdersEquity,Revenue,NetIncome,ProfitMargin
HENRY SCHEIN INC,5047,Wholesale Trade – Durable Goods,Wholesale Trade,1231,2023,12/31/2023,10573000000,3655000000,12339000000,416000000,0.0337
HENRY SCHEIN INC,5047,Wholesale Trade – Durable Goods,Wholesale Trade,1231,2022,12/31/2022,8607000000,3446000000,12647000000,538000000,0.0425
HENRY SCHEIN INC,5047,Wholesale Trade – Durable Goods,Wholesale Trade,1231,2021,12/31/2021,8481091000,3425126000,12401021000,631232000,0.0509
HENRY SCHEIN INC,5047,Wholesale Trade – Durable Goods,Wholesale Trade,1231,2020,12/31/2020,7772532000,3348172000,10119141000,403794000,0.0399
CORE LABORATORIES N V,1389,Oil & Gas Extraction,Mining,1231,2022,12/31/2022,578354000,184258000,489735000,19453000,0.0397
CORE LABORATORIES N V,1389,Oil & Gas Extraction,Mining,1231,2021,12/31/2021,580853000,156449000,470252000,19727000,0.0419
CORE LABORATORIES N V,1389,Oil & Gas Extraction,Mining,1231,2020,12/31/2020,568579000,71513000,487267000,-97637000,-0.2004
"MATIV HOLDINGS, INC.",2621,Paper & Allied Products,Manufacturing,1231,2023,12/31/2023,2642400000,949100000,2026000000,-309500000,-0.1528
"MATIV HOLDINGS, INC.",2621,Paper & Allied Products,Manufacturing,1231,2022,12/31/2022,3669200000,1179300000,2167400000,-6600000,-0.0030
SCHWEITZER MAUDUIT INTERNATIONAL INC,2621,Paper & Allied Products,Manufacturing,1231,2021,12/31/2021,2420300000,682200000,1440000000,88900000,0.0617
SCHWEITZER MAUDUIT INTERNATIONAL INC,2621,Paper & Allied Products,Manufacturing,1231,2020,12/31/2020,1584900000,649600000,1074400000,83800000,0.0780
NOVAVAX INC,2836,Chemical & Allied Products,Manufacturing,1231,2023,12/31/2023,1797490000,-716927000,983705000,-545062000,-0.5541
NOVAVAX INC,2836,Chemical & Allied Products,Manufacturing,1231,2022,12/31/2022,2258679000,-634078000,1981872000,-657939000,-0.3320
NOVAVAX INC,2836,Chemical & Allied Products,Manufacturing,1231,2021,12/31/2021,2576753000,-351673000,1146290000,-1743751000,-1.5212
NOVAVAX INC,2836,Chemical & Allied Products,Manufacturing,1231,2020,12/31/2020,1582479000,627209000,475598000,-418259000,-0.8794
WATERS CORP /DE/,3826,Instruments & Related Products,Manufacturing,1231,2023,12/31/2023,4626854000,1150341000,2956416000,642234000,0.2172
WATERS CORP /DE/,3826,Instruments & Related Products,Manufacturing,1231,2022,12/31/2022,3281453000,504488000,2971956000,707755000,0.2381
WATERS CORP /DE/,3826,Instruments & Related Products,Manufacturing,1231,2021,12/31/2021,3094932000,367554000,2785874000,692843000,0.2487
WATERS CORP /DE/,3826,Instruments & Related Products,Manufacturing,1231,2020,12/31/2020,2839920000,232144000,2365365000,521571000,0.2205
"INSPERITY, INC.",7363,Business Services,Services,1231,2023,12/31/2023,2119659000,93624000,6485871000,171382000,0.0264
"INSPERITY, INC.",7363,Business Services,Services,1231,2022,12/31/2022,2039261000,81275000,5938818000,179350000,0.0302
"INSPERITY, INC.",7363,Business Services,Services,1231,2021,12/31/2021,1753085000,-1774000,4973070000,124080000,0.0250
"INSPERITY, INC.",7363,Business Services,Services,1231,2020,12/31/2020,1584276000,44132000,4287004000,138237000,0.0322
DISH NETWORK CORP,4841,Communications,Transportation & Public Utilities,1231,2022,12/31/2022,52606562000,17942524000,16679407000,2303233000,0.1381
DISH NETWORK CORP,4841,Communications,Transportation & Public Utilities,1231,2021,12/31/2021,48001725000,15526671000,17881106000,2410642000,0.1348
DISH NETWORK CORP,4841,Communications,Transportation & Public Utilities,1231,2020,12/31/2020,38239947000,13780155000,15493435000,1762673000,0.1138
"SANGAMO THERAPEUTICS, INC",2836,Chemical & Allied Products,Manufacturing,1231,2023,12/31/2023,165320000,82887000,176232000,-257831000,-1.4630
"SANGAMO THERAPEUTICS, INC",2836,Chemical & Allied Products,Manufacturing,1231,2021,12/31/2021,721923000,375343000,110701000,-178286000,-1.6105
"SANGAMO THERAPEUTICS, INC",2836,Chemical & Allied Products,Manufacturing,1231,2020,12/31/2020,938550000,498234000,118192000,-120996000,-1.0237
ESTEE LAUDER COMPANIES INC,2844,Chemical & Allied Products,Manufacturing,630,2022,6/30/2022,20910000000,5590000000,17737000000,2390000000,0.1347
ESTEE LAUDER COMPANIES INC,2844,Chemical & Allied Products,Manufacturing,630,2021,6/30/2021,21971000000,6057000000,16215000000,2870000000,0.1770
"TG THERAPEUTICS, INC.",2834,Chemical & Allied Products,Manufacturing,1231,2023,12/31/2023,329587000,160502000,233662000,12672000,0.0542
"RILEY EXPLORATION PERMIAN, INC.",1311,Oil & Gas Extraction,Mining,1231,2023,12/31/2023,945711000,421595000,375047000,111591000,0.2975
SOUTHERN COPPER CORP/,1000,"Metal, Mining",Mining,1231,2023,12/31/2023,16725300000,7418100000,9895800000,2425200000,0.2451
SOUTHERN COPPER CORP/,1000,"Metal, Mining",Mining,1231,2022,12/31/2022,17277400000,8084200000,10047900000,2638500000,0.2626
SOUTHERN COPPER CORP/,1000,"Metal, Mining",Mining,1231,2021,12/31/2021,18297600000,8149200000,10934100000,3397100000,0.3107
SOUTHERN COPPER CORP/,1000,"Metal, Mining",Mining,1231,2020,12/31/2020,16946500000,7224800000,7984900000,1570400000,0.1967
INTEVAC INC,3559,Industrial Machinery & Equipment,Manufacturing,1231,2021,12/31/2021,157769000,134015000,38524000,26620000,0.6910
INTEVAC INC,3559,Industrial Machinery & Equipment,Manufacturing,1231,2020,12/31/2020,127238000,101556000,97824000,1056000,0.0108
"NETAPP, INC.",3572,Industrial Machinery & Equipment,Manufacturing,430,2024,4/30/2024,9887000000,1146000000,6268000000,986000000,0.1573
"NETAPP, INC.",3572,Industrial Machinery & Equipment,Manufacturing,430,2023,4/30/2023,9818000000,1159000000,6362000000,1274000000,0.2003
"NETAPP, INC.",3572,Industrial Machinery & Equipment,Manufacturing,430,2022,4/30/2022,10026000000,838000000,6318000000,937000000,0.1483
"NETAPP, INC.",3572,Industrial Machinery & Equipment,Manufacturing,430,2021,4/30/2021,9360000000,685000000,5744000000,730000000,0.1271
"NUANCE COMMUNICATIONS, INC.",7372,Business Services,Services,930,2021,9/30/2021,3386653000,1634934000,1362379000,-26726000,-0.0196
OPEN TEXT CORP,7373,Business Services,Services,630,2024,6/30/2024,14205707000,4198158000,5769577000,465090000,0.0806
OPEN TEXT CORP,7373,Business Services,Services,630,2023,6/30/2023,17089200000,4020775000,4484980000,150379000,0.0335
OPEN TEXT CORP,7373,Business Services,Services,630,2022,6/30/2022,10178973000,4031118000,3493844000,397090000,0.1137
OPEN TEXT CORP,7373,Business Services,Services,630,2021,6/30/2021,9609336000,4097942000,3386115000,310672000,0.0917
AMEREN CORP,4931,"Electric, Gas, & Sanitary Services",Transportation & Public Utilities,1231,2023,12/31/2023,40830000000,11349000000,7500000000,1152000000,0.1536
AMEREN CORP,4931,"Electric, Gas, & Sanitary Services",Transportation & Public Utilities,1231,2022,12/31/2022,37904000000,10508000000,7957000000,1074000000,0.1350
AMEREN CORP,4931,"Electric, Gas, & Sanitary Services",Transportation & Public Utilities,1231,2021,12/31/2021,35735000000,9700000000,6394000000,990000000,0.1548
MSC INDUSTRIAL DIRECT CO INC,5084,Wholesale Trade – Durable Goods,Wholesale Trade,831,2023,8/31/2023,2544134000,1479164000,4009282000,343233000,0.0856
MSC INDUSTRIAL DIRECT CO INC,5084,Wholesale Trade – Durable Goods,Wholesale Trade,831,2022,8/31/2022,2729414000,1350434000,3691893000,339786000,0.0920
MSC INDUSTRIAL DIRECT CO INC,5084,Wholesale Trade – Durable Goods,Wholesale Trade,831,2021,8/31/2021,2462115000,1150871000,3243224000,216907000,0.0669
"AFFILIATED MANAGERS GROUP, INC.",6282,Security & Commodity Brokers,"Finance, Insurance, & Real Estate",1231,2023,12/31/2023,9059600000,3587900000,2057800000,672900000,0.3270
"AFFILIATED MANAGERS GROUP, INC.",6282,Security & Commodity Brokers,"Finance, Insurance, & Real Estate",1231,2022,12/31/2022,8881000000,3230300000,2329600000,1145900000,0.4919
"AFFILIATED MANAGERS GROUP, INC.",6282,Security & Commodity Brokers,"Finance, Insurance, & Real Estate",1231,2021,12/31/2021,8876400000,2786400000,2412400000,565700000,0.2345
"AFFILIATED MANAGERS GROUP, INC.",6282,Security & Commodity Brokers,"Finance, Insurance, & Real Estate",1231,2020,12/31/2020,7888900000,2779700000,2027500000,202200000,0.0997
"TYSON FOODS, INC.",2015,Food & Kindred Products,Manufacturing,930,2023,9/30/2023,36251000000,18133000000,52881000000,-648000000,-0.0123
"TYSON FOODS, INC.",2015,Food & Kindred Products,Manufacturing,930,2022,9/30/2022,36821000000,19702000000,53282000000,3238000000,0.0608
"TYSON FOODS, INC.",2015,Food & Kindred Products,Manufacturing,930,2021,9/30/2021,36309000000,17723000000,47049000000,3047000000,0.0648
PG&E CORP,4931,"Electric, Gas, & Sanitary Services",Transportation & Public Utilities,1231,2023,12/31/2023,1.25698E+11,25040000000,24428000000,2242000000,0.0918
PG&E CORP,4931,"Electric, Gas, & Sanitary Services",Transportation & Public Utilities,1231,2022,12/31/2022,1.18644E+11,22823000000,21680000000,1800000000,0.0830
PG&E CORP,4931,"Electric, Gas, & Sanitary Services",Transportation & Public Utilities,1231,2021,12/31/2021,1.03327E+11,20971000000,20642000000,-102000000,-0.0049
PG&E CORP,4931,"Electric, Gas, & Sanitary Services",Transportation & Public Utilities,1231,2020,12/31/2020,97856000000,21001000000,18469000000,-1318000000,-0.0714
"UNITED AIRLINES HOLDINGS, INC.",4512,Transportation by Air,Transportation & Public Utilities,1231,2023,12/31/2023,71104000000,9324000000,53717000000,2618000000,0.0487
"UNITED AIRLINES HOLDINGS, INC.",4512,Transportation by Air,Transportation & Public Utilities,1231,2022,12/31/2022,67358000000,6896000000,44955000000,737000000,0.0164
